time,queue_avg,queue_max,delay_avg_1,delay_max,speed_avg,phase
1,0.00,0.00,0.00,0.00,43.86,1
3,0.00,0.00,0.00,0.00,54.05,1
5,0.00,0.00,0.00,0.00,58.83,1
7,0.00,0.00,0.00,0.00,59.31,1
9,0.00,0.00,0.00,0.00,59.76,1
11,0.00,0.00,0.00,0.00,58.02,1
13,0.00,0.00,0.00,0.00,52.99,1
15,0.00,0.00,0.00,0.00,48.79,1
17,0.33,1.34,0.21,1.98,45.96,3
19,1.38,4.77,0.44,3.98,41.67,3
21,3.18,4.58,1.06,5.98,44.34,3
23,2.46,5.32,1.92,7.98,41.38,3
25,2.89,6.54,1.55,6.88,37.58,3
27,4.70,12.22,2.34,8.88,34.79,3
29,6.87,14.68,2.90,10.88,31.46,3
31,10.95,17.93,4.06,12.88,30.68,3
33,14.01,25.02,5.23,14.88,27.41,3
35,15.52,24.76,6.40,16.88,24.22,3
37,19.20,24.76,7.65,18.88,22.48,2
39,21.65,26.92,9.11,20.88,19.93,2
41,28.92,45.08,10.72,22.88,18.69,2
43,33.18,55.06,12.39,24.88,16.60,2
45,39.84,67.34,12.21,23.48,17.55,2
47,41.82,70.53,11.84,25.48,15.46,2
49,39.15,77.12,13.28,27.48,15.18,2
51,43.07,81.21,14.30,29.48,13.85,2
53,46.62,85.21,14.01,31.48,13.60,2
55,39.04,55.07,14.79,33.48,12.90,2
57,34.82,59.87,15.83,35.48,13.24,2
59,37.51,61.15,16.01,37.48,11.23,2
61,39.94,62.99,17.51,39.48,11.56,2
63,41.92,68.94,18.44,41.48,9.36,4
65,44.61,73.58,19.94,43.48,9.00,4
67,47.81,79.55,20.47,45.48,9.10,4
69,48.59,79.94,21.97,47.48,10.36,4
71,53.93,81.44,23.18,47.69,13.01,4
73,55.89,86.87,23.69,46.68,14.70,4
75,51.03,86.77,24.04,48.68,17.57,4
77,50.56,91.98,24.00,50.68,19.08,4
79,50.18,92.59,24.27,52.68,20.04,1
81,42.35,92.59,24.66,54.68,19.66,1
83,35.40,98.53,26.00,56.68,19.15,1
85,42.00,105.88,27.67,58.68,17.59,1
87,47.49,115.96,28.33,55.84,18.14,1
89,55.39,129.05,28.59,49.34,18.30,1
91,58.10,132.94,26.53,48.75,17.47,1
93,61.09,136.03,27.49,48.13,15.86,1
95,59.44,149.18,25.73,50.13,15.24,1
97,59.13,151.49,26.15,52.13,15.69,1
99,61.04,151.43,27.52,54.13,16.28,1
101,63.36,151.28,27.41,56.13,17.15,1
103,47.26,82.57,27.02,58.13,17.04,3
105,31.34,71.73,27.36,60.13,16.31,3
107,33.32,72.86,29.19,62.13,14.84,3
109,36.99,81.87,25.93,64.13,14.62,3
111,43.84,89.71,25.38,57.70,16.01,3
113,42.56,90.84,26.05,56.30,16.90,3
115,42.70,90.84,24.26,52.92,14.91,3
117,44.52,90.84,25.85,54.92,11.69,3
119,49.74,91.22,25.53,56.92,8.99,2
121,52.99,100.94,26.65,58.92,8.64,2
123,56.91,111.28,28.48,60.92,8.60,2
125,60.47,119.32,30.34,62.92,9.26,2
127,61.73,123.32,31.24,64.92,9.52,2
129,63.94,125.52,31.33,66.92,12.04,2
131,62.57,134.00,32.87,68.92,12.79,2
133,58.96,137.12,33.93,70.92,12.21,2
135,59.96,137.98,34.44,72.92,9.79,2
137,63.25,147.15,32.93,74.92,7.53,2
139,70.49,157.95,33.03,76.92,6.88,2
141,73.84,161.92,33.86,78.92,6.72,2
143,77.12,161.39,35.53,80.92,6.35,2
145,78.96,165.49,37.20,82.92,8.00,4
147,81.35,166.92,36.71,84.92,9.54,4
149,81.81,165.29,38.38,86.92,10.35,4
151,83.44,164.60,38.40,88.92,11.54,4
153,85.23,168.11,37.99,85.80,11.16,4
155,88.36,177.77,37.66,78.60,10.21,4
157,86.76,186.36,38.21,69.90,10.56,4
159,90.48,193.39,38.65,70.62,11.66,4
161,93.80,194.38,39.89,72.62,12.70,4
163,93.67,194.38,38.24,74.62,13.54,4
165,90.40,194.38,39.80,76.62,13.50,4
167,92.06,203.06,40.59,78.62,11.27,4
169,84.93,158.78,42.25,80.62,10.43,1
171,61.84,119.31,42.88,82.62,10.60,1
173,58.76,119.90,44.24,84.62,8.91,1
175,61.41,123.47,46.19,86.62,8.01,1
