time,queue_avg,queue_max,delay_avg_1,delay_max,speed_avg,phase
1,0.00,0.00,0.00,0.00,44.74,1
3,0.00,0.00,0.00,0.00,50.57,1
5,0.00,0.00,0.00,0.00,55.93,1
7,0.00,0.00,0.00,0.00,58.20,1
9,0.00,0.00,0.00,0.00,59.93,1
11,0.00,0.00,0.00,0.00,59.31,1
13,0.00,0.00,0.00,0.00,58.59,1
15,0.00,0.00,0.03,0.34,52.19,1
17,0.00,0.00,0.04,0.44,45.57,1
19,0.27,1.09,0.35,2.44,39.25,1
21,1.76,4.86,0.75,4.44,34.81,1
23,2.46,5.11,1.29,6.44,33.14,3
25,5.44,17.00,2.03,8.44,30.21,3
27,6.88,22.75,2.71,10.44,31.33,3
29,6.84,22.59,3.05,11.77,30.68,3
31,7.01,21.74,4.10,13.77,26.84,3
33,9.25,17.07,5.17,15.77,24.39,3
35,10.54,19.54,5.78,17.77,22.17,3
37,13.06,31.04,6.78,19.77,18.15,2
39,13.20,31.62,7.80,21.77,13.59,2
41,15.85,41.27,8.96,23.77,15.02,2
43,19.62,43.93,10.14,25.77,14.82,2
45,23.40,50.67,8.99,24.42,19.48,2
47,24.05,50.40,8.42,26.42,21.94,2
49,23.95,50.01,8.86,28.42,25.17,2
51,12.92,22.75,9.96,30.42,27.01,2
53,14.79,24.33,10.88,32.42,26.01,4
55,16.68,30.06,10.68,34.42,24.69,4
57,18.00,29.95,11.52,36.42,26.90,4
59,17.30,29.95,12.52,38.42,29.83,4
61,12.78,31.58,9.75,30.61,26.64,1
63,11.57,34.99,9.21,32.61,22.48,1
65,13.83,33.79,9.02,34.61,19.21,1
67,18.11,31.77,10.02,36.61,18.43,1
69,20.69,30.09,8.10,32.37,16.75,1
71,11.17,17.48,6.23,25.90,18.61,1
73,10.98,26.69,5.08,27.90,21.10,1
75,12.04,30.94,5.24,29.90,25.53,1
77,12.03,30.89,4.87,31.90,28.93,1
79,12.03,30.89,5.36,33.90,33.44,1
81,12.03,30.89,5.64,35.90,31.22,1
83,12.03,30.89,6.35,37.90,28.68,3
85,12.03,30.89,6.73,39.90,26.14,3
87,13.71,30.89,7.44,41.90,20.91,3
89,15.00,30.89,6.67,25.76,20.36,3
91,17.28,33.50,7.67,27.76,21.47,2
93,18.80,42.66,8.56,29.08,25.11,2
95,15.28,44.84,7.98,31.08,25.01,2
97,15.23,44.83,8.19,33.08,23.26,2
99,16.56,48.59,7.80,31.38,22.34,2
101,18.86,52.18,8.66,31.69,25.80,2
103,20.55,57.39,7.55,32.54,28.14,4
105,23.64,62.95,8.35,34.13,29.37,4
107,24.56,62.74,7.53,24.45,30.13,4
109,23.79,53.54,6.27,19.66,28.81,4
111,14.02,24.04,7.11,21.66,24.05,1
113,15.79,22.67,8.09,23.66,18.63,1
115,19.14,27.56,9.12,25.66,16.03,1
117,21.06,32.65,10.54,27.66,14.84,1
119,24.65,41.47,10.55,28.53,14.59,1
121,31.78,55.55,11.11,30.53,18.10,1
123,33.64,57.21,10.59,32.53,19.65,1
125,25.92,57.16,11.81,34.53,19.60,1
127,20.38,57.16,12.98,36.53,19.45,1
129,21.60,57.16,13.14,38.53,20.31,1
131,22.90,57.16,14.12,40.53,18.70,1
133,24.31,57.16,14.49,42.53,17.35,1
135,25.80,57.16,15.82,44.53,19.03,3
137,28.60,57.16,16.82,46.53,15.20,3
139,32.80,67.34,18.10,48.53,12.72,3
141,30.97,70.04,18.01,50.53,12.05,3
143,32.45,76.19,15.58,52.53,13.07,2
145,37.12,79.51,16.75,54.53,14.02,2
147,38.39,82.60,17.91,56.53,13.80,2
149,38.38,82.58,19.17,58.53,17.11,2
151,38.84,82.58,19.76,60.53,17.76,2
153,43.40,82.58,18.16,54.06,18.36,2
155,44.95,83.97,19.12,51.96,21.62,2
157,48.98,94.04,19.30,52.38,23.00,2
159,45.68,95.78,19.83,44.10,24.30,4
161,35.59,112.90,20.99,46.10,22.09,4
163,39.14,121.25,22.14,48.10,21.41,4
165,42.66,121.15,23.15,50.10,20.14,4
167,48.93,120.98,21.31,47.33,21.16,1
169,30.33,46.49,17.92,49.33,20.33,1
171,26.93,52.81,18.98,51.33,22.12,1
173,29.49,57.32,20.48,53.33,19.75,1
175,32.44,62.74,19.64,55.33,15.87,1
177,36.27,71.11,19.95,57.33,14.97,1
179,44.20,74.27,20.88,59.33,13.73,1
181,50.12,82.31,21.99,61.33,15.68,1
183,57.16,93.46,22.99,63.33,17.05,1
185,57.97,92.70,23.18,65.33,17.76,1
187,53.31,81.40,24.49,67.33,16.40,3
189,38.32,84.01,25.61,69.33,17.22,3
191,40.86,90.19,26.38,71.33,17.57,3
193,43.32,93.83,27.72,73.33,17.41,3
195,45.23,93.79,26.82,75.33,15.11,2
197,48.94,93.79,26.62,77.33,11.73,2
199,58.62,99.21,28.18,79.33,8.48,2
201,66.83,107.57,29.85,81.33,8.12,2
203,70.23,113.49,27.81,80.55,9.57,2
205,72.98,115.06,27.23,60.80,10.50,2
207,75.29,115.05,26.83,59.44,13.14,2
209,77.74,115.05,24.94,53.83,12.73,2
211,78.97,114.92,26.50,53.15,13.89,2
213,80.72,116.82,26.91,53.87,15.98,2
215,85.29,124.81,28.52,53.19,16.96,4
217,86.82,124.25,28.79,52.37,15.68,4
219,88.63,124.93,29.77,54.37,13.54,4
221,68.92,132.84,30.46,56.37,11.18,4
223,69.31,133.53,28.59,52.37,11.14,1
225,75.12,133.51,26.05,54.37,9.96,1
227,80.69,133.29,27.55,56.37,10.51,1
229,63.75,85.95,29.05,58.37,10.11,1
231,62.50,85.95,29.44,60.37,10.38,1
233,66.91,85.95,30.72,62.37,9.65,1
235,70.81,85.94,29.46,64.37,10.68,1
237,67.37,84.81,30.38,66.37,11.75,1
239,54.88,83.42,30.53,68.37,14.43,1
241,56.04,82.20,29.21,70.37,15.81,3
243,48.93,78.90,30.15,72.37,15.52,3
245,40.17,80.30,30.23,74.37,14.52,3
247,45.20,80.30,30.34,69.91,11.58,3
249,48.92,81.17,28.73,71.91,9.42,2
251,53.62,89.61,30.23,73.91,6.70,2
253,59.11,92.56,31.73,75.91,5.22,2
255,65.07,95.80,33.23,77.91,4.86,2
257,68.83,100.44,32.28,67.74,5.66,2
259,71.78,108.71,32.42,65.13,7.75,2
261,73.86,117.05,31.57,62.77,8.63,2
263,73.94,117.58,32.37,61.40,11.29,2
265,73.74,117.58,31.04,63.40,14.33,2
267,74.71,117.58,31.17,61.92,15.98,2
269,77.02,117.58,28.38,63.44,16.18,2
271,76.89,117.58,29.29,56.37,17.28,4
273,52.56,117.58,30.29,51.69,15.20,4
275,53.43,116.69,29.18,53.04,13.36,4
277,47.76,79.72,30.49,52.77,11.73,4
279,32.45,66.30,29.29,54.77,11.97,1
281,40.68,70.25,30.89,56.77,11.05,1
283,43.56,70.16,31.62,58.77,12.51,1
285,39.35,70.16,33.30,60.77,14.05,1
287,40.41,70.16,30.87,61.34,14.70,1
289,41.83,70.16,29.76,62.84,13.80,1
291,44.49,70.16,25.55,64.84,13.22,3
293,49.46,70.16,26.40,66.84,14.97,3
295,53.10,70.74,27.48,68.84,16.21,3
297,42.70,78.64,25.74,49.12,15.67,3
299,42.28,84.33,24.75,51.12,16.69,2
301,44.94,84.14,25.79,48.18,16.95,2
303,49.39,84.14,27.22,50.18,16.33,2
305,51.41,90.00,27.43,52.18,16.15,2
307,53.95,90.05,28.51,54.18,14.08,2
309,57.10,94.26,30.06,56.18,15.87,2
311,60.34,102.41,29.82,58.18,15.64,2
313,62.35,102.63,28.48,60.18,18.32,2
315,42.25,89.82,29.10,62.18,19.69,2
317,43.42,91.14,29.04,64.18,17.31,2
319,30.53,50.35,29.51,66.18,18.97,2
321,22.80,52.99,27.21,68.18,18.12,4
323,26.15,63.02,28.41,70.18,17.57,4
