time,phase
1.0,7.0
3.0,7.0
5.0,7.0
7.0,7.0
9.0,4.0
11.0,4.0
13.0,4.0
15.0,4.0
17.0,5.0
19.0,5.0
21.0,5.0
23.0,5.0
25.0,6.0
27.0,6.0
29.0,6.0
31.0,6.0
33.0,1.0
35.0,1.0
37.0,1.0
39.0,1.0
41.0,8.0
43.0,8.0
45.0,8.0
47.0,8.0
49.0,8.0
51.0,8.0
53.0,7.0
55.0,7.0
57.0,7.0
59.0,7.0
61.0,7.0
63.0,7.0
65.0,3.0
67.0,3.0
69.0,3.0
71.0,3.0
73.0,4.0
75.0,4.0
77.0,4.0
79.0,4.0
81.0,4.0
83.0,4.0
85.0,6.0
87.0,6.0
89.0,6.0
91.0,6.0
93.0,6.0
95.0,6.0
97.0,3.0
99.0,3.0
101.0,3.0
103.0,3.0
105.0,3.0
107.0,3.0
109.0,8.0
111.0,8.0
113.0,8.0
115.0,8.0
117.0,8.0
119.0,8.0
121.0,8.0
123.0,8.0
125.0,1.0
127.0,1.0
129.0,1.0
131.0,1.0
133.0,4.0
135.0,4.0
137.0,4.0
139.0,4.0
141.0,3.0
143.0,3.0
145.0,3.0
147.0,3.0
149.0,3.0
151.0,3.0
153.0,2.0
155.0,2.0
157.0,2.0
159.0,2.0
161.0,2.0
163.0,2.0
165.0,5.0
167.0,5.0
169.0,5.0
171.0,5.0
173.0,4.0
175.0,4.0
177.0,4.0
179.0,4.0
181.0,7.0
183.0,7.0
185.0,7.0
187.0,7.0
189.0,7.0
191.0,7.0
193.0,7.0
195.0,7.0
197.0,7.0
199.0,7.0
201.0,8.0
203.0,8.0
205.0,8.0
207.0,8.0
209.0,8.0
211.0,8.0
213.0,5.0
215.0,5.0
217.0,5.0
219.0,5.0
221.0,5.0
223.0,5.0
225.0,2.0
227.0,2.0
229.0,2.0
231.0,2.0
233.0,2.0
235.0,2.0
237.0,3.0
239.0,3.0
241.0,3.0
243.0,3.0
245.0,4.0
247.0,4.0
249.0,4.0
251.0,4.0
253.0,4.0
255.0,4.0
257.0,2.0
259.0,2.0
261.0,2.0
263.0,2.0
265.0,2.0
267.0,7.0
269.0,7.0
271.0,7.0
273.0,7.0
275.0,7.0
277.0,7.0
279.0,7.0
281.0,7.0
283.0,7.0
285.0,4.0
287.0,4.0
289.0,4.0
291.0,4.0
293.0,4.0
295.0,4.0
297.0,4.0
299.0,4.0
301.0,5.0
303.0,5.0
305.0,5.0
307.0,5.0
309.0,5.0
311.0,5.0
313.0,5.0
315.0,5.0
317.0,4.0
319.0,4.0
321.0,4.0
323.0,4.0
325.0,4.0
327.0,4.0
329.0,6.0
331.0,6.0
333.0,6.0
335.0,6.0
337.0,6.0
339.0,6.0
341.0,7.0
343.0,7.0
345.0,7.0
347.0,7.0
349.0,7.0
351.0,7.0
353.0,8.0
355.0,8.0
357.0,8.0
359.0,8.0
361.0,3.0
363.0,3.0
365.0,3.0
367.0,3.0
369.0,3.0
371.0,3.0
373.0,4.0
375.0,4.0
377.0,4.0
379.0,4.0
381.0,4.0
383.0,4.0
385.0,5.0
387.0,5.0
389.0,5.0
391.0,5.0
393.0,5.0
395.0,5.0
397.0,7.0
399.0,7.0
401.0,7.0
403.0,7.0
405.0,7.0
407.0,2.0
409.0,2.0
411.0,2.0
413.0,2.0
415.0,2.0
417.0,2.0
419.0,4.0
421.0,4.0
423.0,4.0
425.0,4.0
427.0,4.0
429.0,4.0
431.0,4.0
433.0,4.0
435.0,4.0
437.0,5.0
439.0,5.0
441.0,5.0
443.0,5.0
445.0,5.0
447.0,7.0
449.0,7.0
451.0,7.0
453.0,7.0
455.0,7.0
457.0,7.0
459.0,7.0
461.0,4.0
463.0,4.0
465.0,4.0
467.0,4.0
469.0,4.0
471.0,4.0
473.0,4.0
475.0,4.0
477.0,2.0
479.0,2.0
481.0,2.0
483.0,2.0
485.0,3.0
487.0,3.0
489.0,3.0
491.0,3.0
493.0,3.0
495.0,3.0
497.0,3.0
499.0,3.0
