time,queue_avg,queue_max,delay_avg_1,delay_max,speed_avg,phase
1,0.00,0.00,0.00,0.00,44.27,1
3,0.00,0.00,0.00,0.00,53.54,1
5,0.00,0.00,0.00,0.00,54.99,1
7,0.00,0.00,0.00,0.00,58.16,1
9,0.00,0.00,0.00,0.00,60.79,1
11,0.00,0.00,0.00,0.00,57.93,3
13,0.00,0.00,0.00,0.00,51.86,3
15,0.00,0.00,0.00,0.00,45.32,3
17,0.06,0.26,0.27,1.82,34.08,3
19,2.32,9.28,0.53,3.82,28.72,3
21,5.56,16.85,1.20,5.82,24.49,3
23,9.54,21.96,1.84,7.82,23.82,2
25,11.10,28.47,2.51,9.82,25.15,2
27,11.38,29.60,3.17,11.82,28.93,2
29,10.37,29.60,4.20,13.82,28.47,2
31,8.84,29.60,4.94,15.82,29.76,2
33,11.56,29.60,4.96,17.82,29.07,4
35,12.98,29.60,5.66,19.82,25.27,4
37,12.94,29.60,6.54,21.82,30.55,4
39,9.48,29.60,6.08,21.77,32.50,4
41,8.44,29.56,5.11,23.77,30.56,4
43,12.85,34.70,4.81,25.77,33.44,4
45,13.03,34.07,5.68,27.77,34.16,1
47,12.53,32.09,6.35,29.77,31.33,1
49,12.02,30.04,7.12,31.77,31.42,1
51,12.90,29.63,8.16,33.77,29.85,1
53,10.85,31.17,7.98,34.84,29.18,3
55,11.81,34.70,8.52,33.53,29.28,3
57,13.80,31.65,5.69,33.55,27.06,3
59,12.40,17.58,6.69,35.55,26.57,3
61,10.29,22.86,7.11,37.55,24.74,3
63,11.05,22.75,7.65,39.55,22.17,3
65,11.20,23.48,7.45,41.55,21.62,3
67,12.70,29.51,8.22,43.55,18.31,3
69,13.31,31.92,9.52,45.55,18.54,3
71,15.23,36.19,10.53,47.55,16.86,2
73,15.83,36.13,11.38,49.55,13.96,2
75,15.82,36.13,12.42,51.55,12.81,2
77,17.17,36.13,13.60,53.55,10.65,2
79,18.56,40.71,11.86,55.55,14.69,4
81,19.93,42.77,12.12,57.55,12.61,4
83,20.86,42.76,11.68,59.55,13.93,4
85,25.56,50.02,12.68,61.55,18.26,4
87,23.07,49.74,12.21,63.55,21.91,4
89,21.17,49.74,12.85,65.55,25.30,4
91,21.16,49.68,13.04,67.55,26.15,4
93,11.78,30.12,13.44,69.55,26.29,4
95,10.90,30.12,13.97,71.55,27.56,1
97,11.39,30.12,14.50,73.55,29.48,1
99,11.66,30.12,15.68,75.55,34.24,1
