time,calc_time
1.00,0.03
9.00,0.03
19.00,0.03
29.00,0.01
39.00,0.03
49.00,0.02
59.00,0.02
69.00,0.03
79.00,0.03
89.00,0.03
99.00,0.03
109.00,0.02
119.00,0.02
129.00,0.02
139.00,0.03
149.00,0.02
159.00,0.02
169.00,0.02
179.00,0.02
189.00,0.03
199.00,0.02
209.00,0.02
219.00,0.02
229.00,0.02
239.00,0.02
249.00,0.02
259.00,0.02
269.00,0.03
279.00,0.03
289.00,0.02
299.00,0.02
309.00,0.02
319.00,0.02
329.00,0.02
339.00,0.02
349.00,0.03
359.00,0.02
369.00,0.02
379.00,0.03
389.00,0.03
399.00,0.02
409.00,0.02
419.00,0.02
429.00,0.02
439.00,0.03
449.00,0.02
459.00,0.02
469.00,0.02
479.00,0.02
489.00,0.02
499.00,0.03
509.00,0.02
519.00,0.02
529.00,0.02
539.00,0.02
549.00,0.02
559.00,0.02
569.00,0.02
579.00,0.02
589.00,0.02
599.00,0.03
609.00,0.02
619.00,0.02
629.00,0.02
639.00,0.02
649.00,0.03
659.00,0.03
669.00,0.03
679.00,0.02
689.00,0.02
699.00,0.02
709.00,0.02
719.00,0.02
729.00,0.02
739.00,0.02
749.00,0.02
759.00,0.02
769.00,0.02
779.00,0.02
789.00,0.02
799.00,0.03
809.00,0.02
819.00,0.02
829.00,0.02
839.00,0.02
849.00,0.02
859.00,0.03
869.00,0.02
879.00,0.02
889.00,0.03
899.00,0.02
909.00,0.03
919.00,0.06
929.00,0.02
939.00,0.03
949.00,0.02
959.00,0.02
969.00,0.02
979.00,0.03
989.00,0.02
999.00,0.02
