time,queue_main,queue_right,queue_avg,queue_max,delay_route_1,delay_route_2,delay_route_3,delay_avg_1,delay_avg_2,delay_max,speed
1,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,60.00
3,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,44.11
5,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,54.46
7,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,58.87
9,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,59.27
11,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,58.75
13,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,58.25
15,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,53.01
17,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,51.51
19,0.00,0.00,0.00,0.00,0.67,0.00,0.00,0.22,0.13,0.67,52.76
21,0.00,0.00,0.00,0.00,0.00,1.92,0.00,0.64,1.15,1.92,50.81
23,0.00,0.00,0.00,0.00,0.27,1.43,0.00,0.57,0.91,1.43,43.07
25,0.00,0.00,0.00,0.00,2.27,0.00,0.00,0.76,0.45,2.27,35.10
27,4.01,0.00,2.01,4.01,4.27,1.34,0.00,1.87,1.66,4.27,37.82
29,9.79,0.00,4.90,9.79,6.27,3.34,0.00,3.20,3.26,6.27,31.22
31,12.03,0.00,6.02,12.03,8.27,5.34,0.00,4.54,4.86,8.27,34.66
33,15.79,0.00,7.90,15.79,10.27,7.34,0.00,5.87,6.46,10.27,30.95
35,16.50,0.00,8.25,16.50,12.27,9.34,0.00,7.20,8.06,12.27,25.56
37,22.72,0.00,11.36,22.72,14.27,11.34,0.00,8.54,9.66,14.27,25.94
39,23.68,0.00,11.84,23.68,16.27,13.34,0.00,9.87,11.26,16.27,24.54
41,29.52,0.00,14.76,29.52,18.27,15.34,0.00,11.20,12.86,18.27,20.22
43,29.39,0.00,14.69,29.39,20.27,17.34,0.00,12.54,14.46,20.27,16.61
45,37.46,0.00,18.73,37.46,22.27,19.34,0.00,13.87,16.06,22.27,11.74
47,42.58,0.00,21.29,42.58,24.27,21.34,0.00,15.20,17.66,24.27,12.02
49,42.53,0.00,21.27,42.53,26.27,23.34,0.00,16.54,19.26,26.27,8.96
51,46.66,0.00,23.33,46.66,28.27,25.34,0.00,17.87,20.86,28.27,6.92
53,54.48,0.00,27.24,54.48,30.27,27.34,1.33,19.64,22.72,30.27,9.22
55,54.35,0.00,27.17,54.35,32.27,29.34,3.33,21.64,24.72,32.27,7.78
57,54.35,0.00,27.17,54.35,34.27,31.34,5.33,23.64,26.72,34.27,6.75
59,59.09,0.00,29.54,59.09,28.01,33.34,7.33,22.89,27.07,33.34,5.02
61,60.75,0.00,30.38,60.75,30.01,35.34,9.33,24.89,29.07,35.34,2.88
63,60.75,0.00,30.37,60.75,32.01,37.34,11.33,26.89,31.07,37.34,1.58
65,64.15,0.00,32.07,64.15,34.01,39.34,13.33,28.89,33.07,39.34,5.25
67,67.11,0.00,33.56,67.11,36.01,41.34,15.33,30.89,35.07,41.34,14.51
69,67.07,0.00,33.53,67.07,38.01,35.20,17.33,30.18,32.19,38.01,22.85
71,66.70,0.00,33.35,66.70,33.12,37.20,19.33,29.88,32.81,37.20,25.76
73,65.68,0.00,32.84,65.68,35.12,29.88,21.33,28.78,29.22,35.12,31.55
75,35.30,0.00,17.65,35.30,28.83,31.88,23.33,28.01,29.56,31.88,34.35
77,0.00,0.00,0.00,0.00,30.83,33.88,25.33,30.01,31.56,33.88,28.72
79,0.00,0.00,0.00,0.00,27.43,0.90,27.33,18.55,11.49,27.43,22.73
81,0.00,4.27,2.14,4.27,29.43,2.90,29.33,20.55,13.49,29.43,22.14
83,0.00,8.79,4.40,8.79,14.44,4.90,31.33,16.89,12.09,31.33,19.62
85,0.00,11.14,5.57,11.14,16.44,6.90,33.33,18.89,14.09,33.33,23.85
87,0.00,11.14,5.57,11.14,5.72,8.90,35.33,16.65,13.55,35.33,26.05
89,0.00,11.14,5.57,11.14,7.72,8.36,37.33,17.80,14.02,37.33,28.21
91,0.00,11.14,5.57,11.14,9.72,4.73,39.33,17.93,12.65,39.33,31.66
93,3.69,8.55,6.12,8.55,11.72,6.73,41.33,19.93,14.65,41.33,34.65
95,10.41,0.00,5.20,10.41,13.72,8.73,35.44,19.30,15.07,35.44,31.77
97,11.38,0.00,5.69,11.38,15.72,10.73,0.00,8.82,9.58,15.72,24.55
99,17.17,0.00,8.59,17.17,17.72,12.73,0.00,10.15,11.18,17.72,24.49
101,23.11,0.00,11.56,23.11,19.72,14.73,0.00,11.48,12.78,19.72,24.40
103,30.38,0.00,15.19,30.38,21.72,16.73,0.00,12.82,14.38,21.72,19.77
105,30.15,0.00,15.07,30.15,23.72,18.73,0.00,14.15,15.98,23.72,18.46
107,34.64,0.00,17.32,34.64,25.72,20.73,0.00,15.48,17.58,25.72,17.99
109,43.29,0.00,21.64,43.29,27.72,22.73,0.00,16.82,19.18,27.72,14.26
111,43.12,0.00,21.56,43.12,29.72,24.73,0.00,18.15,20.78,29.72,10.29
113,51.08,0.00,25.54,51.08,31.72,26.73,0.00,19.48,22.38,31.72,6.07
115,55.98,0.00,27.99,55.98,33.72,28.73,0.00,20.82,23.98,33.72,11.48
117,58.42,0.00,29.21,58.42,24.89,30.73,0.00,18.54,23.42,30.73,14.51
119,66.92,0.00,33.46,66.92,26.89,32.73,0.00,19.87,25.02,32.73,13.38
121,69.37,0.00,34.69,69.37,28.89,34.73,0.55,21.39,26.73,34.73,11.01
123,69.36,0.00,34.68,69.36,30.89,36.73,2.55,23.39,28.73,36.73,14.63
125,69.36,0.00,34.68,69.36,32.89,38.73,4.55,25.39,30.73,38.73,13.34
127,78.58,0.00,39.29,78.58,34.89,29.97,6.55,23.80,26.27,34.89,14.89
129,84.55,0.00,42.27,84.55,28.41,31.97,8.55,22.98,26.57,31.97,13.39
131,87.69,0.00,43.85,87.69,30.41,25.11,10.55,22.02,23.26,30.41,11.27
133,94.93,0.00,47.47,94.93,24.44,27.11,12.55,21.37,23.66,27.11,10.93
135,99.74,0.00,49.87,99.74,26.44,29.11,14.55,23.37,25.66,29.11,12.60
137,101.69,0.00,50.85,101.69,6.66,26.22,16.55,16.47,20.37,26.22,16.85
139,104.17,0.00,52.08,104.17,8.66,26.28,18.55,17.83,21.21,26.28,21.01
141,103.41,0.00,51.70,103.41,10.66,23.28,20.55,18.16,20.21,23.28,20.79
143,100.65,0.00,50.32,100.65,12.66,11.18,22.55,15.46,13.75,22.55,23.28
145,4.93,4.10,4.52,4.93,14.66,13.18,24.55,17.46,15.75,24.55,27.30
147,0.00,10.32,5.16,10.32,16.66,15.18,26.55,19.46,17.75,26.55,31.53
149,0.00,11.58,5.79,11.58,18.66,17.18,28.55,21.46,19.75,28.55,31.75
151,0.59,11.58,6.08,11.58,0.00,19.18,30.55,16.58,17.62,30.55,35.00
153,5.35,17.27,11.31,17.27,0.00,21.18,32.55,17.91,19.22,32.55,31.82
