time,phase
1.0,1.0
3.0,1.0
5.0,1.0
7.0,1.0
9.0,2.0
11.0,2.0
13.0,2.0
15.0,2.0
17.0,7.0
19.0,7.0
21.0,7.0
23.0,7.0
25.0,15.0
27.0,15.0
29.0,15.0
31.0,15.0
33.0,4.0
35.0,4.0
37.0,4.0
39.0,4.0
41.0,12.0
43.0,12.0
45.0,12.0
47.0,12.0
49.0,7.0
51.0,7.0
53.0,7.0
55.0,7.0
57.0,13.0
59.0,13.0
61.0,13.0
63.0,13.0
65.0,1.0
67.0,1.0
69.0,1.0
71.0,1.0
73.0,4.0
75.0,4.0
77.0,4.0
79.0,4.0
81.0,4.0
83.0,6.0
85.0,6.0
87.0,6.0
89.0,6.0
91.0,3.0
93.0,3.0
95.0,3.0
97.0,3.0
99.0,16.0
101.0,16.0
103.0,16.0
105.0,16.0
107.0,16.0
109.0,16.0
111.0,16.0
113.0,8.0
115.0,8.0
117.0,8.0
119.0,8.0
121.0,3.0
123.0,3.0
125.0,3.0
127.0,3.0
129.0,11.0
131.0,11.0
133.0,11.0
135.0,11.0
137.0,11.0
139.0,11.0
141.0,11.0
143.0,11.0
145.0,11.0
147.0,11.0
149.0,11.0
151.0,11.0
153.0,5.0
155.0,5.0
157.0,5.0
159.0,5.0
161.0,5.0
163.0,5.0
165.0,5.0
167.0,5.0
169.0,4.0
171.0,4.0
173.0,4.0
175.0,4.0
177.0,4.0
179.0,7.0
181.0,7.0
183.0,7.0
185.0,7.0
187.0,7.0
189.0,7.0
191.0,2.0
193.0,2.0
195.0,2.0
197.0,2.0
199.0,2.0
201.0,2.0
203.0,2.0
205.0,2.0
207.0,9.0
209.0,9.0
211.0,9.0
213.0,9.0
215.0,9.0
217.0,9.0
219.0,9.0
221.0,3.0
223.0,3.0
225.0,3.0
227.0,3.0
229.0,3.0
231.0,6.0
233.0,6.0
235.0,6.0
237.0,6.0
239.0,9.0
241.0,9.0
243.0,9.0
245.0,9.0
247.0,14.0
249.0,14.0
251.0,14.0
253.0,14.0
255.0,14.0
257.0,2.0
259.0,2.0
261.0,2.0
263.0,2.0
265.0,5.0
267.0,5.0
269.0,5.0
271.0,5.0
273.0,11.0
275.0,11.0
277.0,11.0
279.0,11.0
281.0,11.0
283.0,11.0
285.0,1.0
287.0,1.0
289.0,1.0
291.0,1.0
293.0,1.0
295.0,1.0
297.0,4.0
299.0,4.0
301.0,4.0
303.0,4.0
305.0,4.0
307.0,4.0
309.0,8.0
311.0,8.0
313.0,8.0
315.0,8.0
317.0,5.0
319.0,5.0
321.0,5.0
323.0,5.0
325.0,5.0
327.0,5.0
329.0,6.0
331.0,6.0
333.0,6.0
335.0,6.0
337.0,7.0
339.0,7.0
341.0,7.0
343.0,7.0
345.0,7.0
347.0,7.0
349.0,1.0
351.0,1.0
353.0,1.0
355.0,1.0
357.0,1.0
359.0,10.0
361.0,10.0
363.0,10.0
365.0,10.0
367.0,10.0
369.0,10.0
371.0,10.0
373.0,10.0
375.0,10.0
377.0,10.0
379.0,10.0
381.0,1.0
383.0,1.0
385.0,1.0
387.0,1.0
389.0,1.0
391.0,1.0
393.0,1.0
395.0,1.0
397.0,1.0
399.0,1.0
401.0,2.0
403.0,2.0
405.0,2.0
407.0,2.0
409.0,2.0
411.0,2.0
413.0,8.0
415.0,8.0
417.0,8.0
419.0,8.0
421.0,15.0
423.0,15.0
425.0,15.0
427.0,15.0
429.0,15.0
431.0,15.0
433.0,2.0
435.0,2.0
437.0,2.0
439.0,2.0
441.0,5.0
443.0,5.0
445.0,5.0
447.0,5.0
449.0,17.0
451.0,17.0
453.0,17.0
455.0,17.0
457.0,17.0
459.0,17.0
461.0,2.0
463.0,2.0
465.0,2.0
467.0,2.0
469.0,2.0
471.0,2.0
473.0,2.0
475.0,2.0
477.0,2.0
479.0,4.0
481.0,4.0
483.0,4.0
485.0,4.0
487.0,5.0
489.0,5.0
491.0,5.0
493.0,5.0
495.0,5.0
497.0,14.0
499.0,14.0
