time,calc_time
1.00,0.25
9.00,0.09
19.00,0.09
29.00,0.10
39.00,0.09
49.00,0.09
59.00,0.09
69.00,0.09
79.00,0.09
89.00,0.09
99.00,0.12
109.00,0.08
119.00,0.09
129.00,0.10
139.00,0.09
149.00,0.08
159.00,0.09
169.00,0.09
179.00,0.09
189.00,0.09
199.00,0.09
209.00,0.09
219.00,0.08
229.00,0.09
239.00,0.09
249.00,0.09
259.00,0.09
269.00,0.09
279.00,0.09
289.00,0.11
299.00,0.10
309.00,0.09
319.00,0.09
329.00,0.09
339.00,0.09
349.00,0.09
359.00,0.09
369.00,0.08
379.00,0.09
389.00,0.09
399.00,0.09
409.00,0.10
419.00,0.09
429.00,0.10
439.00,0.09
449.00,0.10
459.00,0.09
469.00,0.09
479.00,0.31
489.00,0.09
499.00,0.09
