time,queue_main,queue_right,queue_avg,queue_max,delay_route_1,delay_route_2,delay_route_3,delay_avg_1,delay_avg_2,delay_max,speed,outflow
1,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,44.75,0.00
3,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,53.03,0.00
5,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,59.65,0.00
7,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,61.50,0.00
9,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,63.03,0.00
11,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,62.56,0.00
13,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,62.38,0.00
15,0.00,0.00,0.00,0.00,0.00,0.45,0.00,0.15,0.19,0.45,57.24,2.00
17,0.00,0.00,0.00,0.00,0.00,0.06,0.00,0.02,0.03,0.06,46.56,1.00
19,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,38.14,0.00
21,0.00,0.00,0.00,0.00,0.37,0.00,0.00,0.12,0.16,0.37,50.68,1.00
23,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,47.72,0.00
25,0.00,0.00,0.00,0.00,0.00,1.03,0.00,0.34,0.44,1.03,56.49,1.00
27,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,64.18,0.00
29,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,63.97,0.00
31,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,61.97,0.00
33,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,47.27,0.00
35,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,28.80,0.00
37,0.00,0.00,0.00,0.00,0.00,0.98,0.00,0.33,0.42,0.98,11.39,0.00
39,3.22,0.00,1.61,3.22,0.00,2.98,0.00,0.99,1.28,2.98,1.91,0.00
41,9.53,0.00,4.76,9.53,1.14,4.98,0.00,2.04,2.62,4.98,0.00,0.00
43,11.31,0.00,5.65,11.31,3.14,6.98,0.00,3.37,4.34,6.98,14.98,0.00
45,11.30,0.00,5.65,11.30,5.14,8.98,0.00,4.71,6.05,8.98,17.62,0.00
47,11.30,0.00,5.65,11.30,7.14,10.98,0.00,6.04,7.76,10.98,28.79,0.00
49,11.30,0.00,5.65,11.30,9.14,12.98,0.00,7.37,9.48,12.98,30.54,0.00
51,11.30,0.00,5.65,11.30,11.14,14.98,0.00,8.71,11.19,14.98,30.13,0.00
53,11.30,0.00,5.65,11.30,13.14,16.98,0.00,10.04,12.91,16.98,31.77,0.00
55,11.30,0.00,5.65,11.30,15.14,18.98,0.00,11.37,14.62,18.98,31.81,0.00
57,11.30,0.00,5.65,11.30,17.14,20.98,0.00,12.71,16.34,20.98,25.88,0.00
59,14.67,0.00,7.34,14.67,19.14,22.98,0.00,14.04,18.05,22.98,26.90,0.00
61,18.77,0.00,9.39,18.77,21.14,24.98,0.00,15.37,19.76,24.98,24.38,0.00
63,24.88,0.00,12.44,24.88,23.14,26.98,0.00,16.71,21.48,26.98,27.92,0.00
65,24.74,0.00,12.37,24.74,25.14,28.98,0.00,18.04,23.19,28.98,29.98,1.00
67,25.11,0.00,12.55,25.11,27.14,0.13,0.00,9.09,11.68,27.14,32.08,1.00
69,24.74,0.00,12.37,24.74,11.32,2.13,0.00,4.48,5.76,11.32,31.98,1.00
71,0.00,0.00,0.00,0.00,9.85,4.13,0.00,4.66,5.99,9.85,33.30,1.00
73,0.00,0.00,0.00,0.00,6.11,6.13,0.00,4.08,5.25,6.13,36.92,1.00
75,0.00,0.00,0.00,0.00,0.00,8.13,0.00,2.71,3.48,8.13,42.41,1.00
77,0.00,0.00,0.00,0.00,0.00,5.43,0.00,1.81,2.33,5.43,45.36,1.00
79,0.00,0.00,0.00,0.00,0.85,0.00,0.00,0.28,0.37,0.85,44.53,0.00
81,0.00,0.00,0.00,0.00,2.85,0.25,0.82,1.31,1.45,2.85,39.82,1.00
83,0.00,0.00,0.00,0.00,0.00,2.25,2.82,1.69,1.37,2.82,36.68,0.00
85,0.00,7.97,3.99,7.97,0.00,4.25,4.82,3.02,2.51,4.82,36.64,1.00
87,0.00,11.55,5.78,11.55,0.00,0.00,6.82,2.27,0.97,6.82,36.24,0.00
89,0.00,11.53,5.76,11.53,0.00,0.94,8.82,3.25,1.66,8.82,38.56,1.00
91,0.00,7.82,3.91,7.82,0.00,0.00,10.82,3.61,1.55,10.82,42.27,1.00
93,0.00,0.00,0.00,0.00,0.00,0.00,12.15,4.05,1.74,12.15,31.26,1.00
95,0.00,0.00,0.00,0.00,0.00,0.32,0.00,0.11,0.14,0.32,30.46,0.00
