time,queue_main,queue_right,queue_avg,queue_max,delay_route_1,delay_route_2,delay_route_3,delay_avg_1,delay_avg_2,delay_max,speed
1,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,44.75
3,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,53.03
5,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,59.65
7,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,61.50
9,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,63.03
11,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,62.56
13,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,62.38
15,0.00,0.00,0.00,0.00,0.00,0.45,0.00,0.15,0.19,0.45,57.24
17,0.00,0.00,0.00,0.00,0.00,0.06,0.00,0.02,0.03,0.06,46.56
19,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,29.32
21,0.55,0.00,0.27,0.55,1.19,0.00,0.00,0.40,0.51,1.19,17.10
23,4.91,0.00,2.45,4.91,3.19,0.00,0.00,1.06,1.37,3.19,23.22
25,4.77,0.00,2.38,4.77,5.19,0.74,0.00,1.98,2.54,5.19,30.70
27,7.40,0.00,3.70,7.40,7.19,2.74,0.00,3.31,4.26,7.19,32.35
29,17.22,0.00,8.61,17.22,9.19,4.74,0.00,4.64,5.97,9.19,31.92
31,17.06,0.00,8.53,17.06,11.19,6.74,0.00,5.98,7.69,11.19,27.78
33,17.06,0.00,8.53,17.06,13.19,8.74,0.00,7.31,9.40,13.19,19.07
35,17.06,0.00,8.53,17.06,15.19,10.74,0.00,8.64,11.11,15.19,9.07
37,17.83,0.00,8.92,17.83,17.19,12.74,0.00,9.98,12.83,17.19,2.16
39,26.08,0.00,13.04,26.08,19.19,14.74,0.00,11.31,14.54,19.19,0.11
41,29.90,0.00,14.95,29.90,21.19,16.74,0.00,12.64,16.26,21.19,0.00
43,29.83,0.00,14.92,29.83,23.19,18.74,0.00,13.98,17.97,23.19,8.99
45,29.83,0.00,14.92,29.83,25.19,20.74,0.00,15.31,19.69,25.19,10.57
47,29.83,0.00,14.92,29.83,27.19,22.74,0.00,16.64,21.40,27.19,19.42
49,29.83,0.00,14.92,29.83,29.19,24.74,0.00,17.98,23.11,29.19,21.20
51,29.83,0.00,14.92,29.83,31.19,26.74,0.00,19.31,24.83,31.19,18.69
53,29.83,0.00,14.92,29.83,33.19,28.74,0.00,20.64,26.54,33.19,20.19
55,29.83,0.00,14.92,29.83,35.19,30.74,0.00,21.98,28.26,35.19,20.97
57,31.22,0.00,15.61,31.22,37.19,32.74,0.00,23.31,29.97,37.19,17.39
59,36.20,0.00,18.10,36.20,39.19,34.74,0.00,24.64,31.69,39.19,19.01
61,42.08,0.00,21.04,42.08,41.19,36.74,0.00,25.98,33.40,41.19,17.05
