time,calc_time
1.00,0.16
9.00,0.06
19.00,0.06
29.00,0.06
39.00,0.06
49.00,0.06
59.00,0.06
69.00,0.06
79.00,0.07
89.00,0.07
99.00,0.07
109.00,0.06
119.00,0.08
129.00,0.06
139.00,0.07
149.00,0.06
159.00,0.06
169.00,0.06
179.00,0.06
189.00,0.06
199.00,0.07
209.00,0.17
219.00,0.06
229.00,0.07
239.00,0.07
249.00,0.06
259.00,0.06
269.00,0.06
279.00,0.06
289.00,0.07
299.00,0.07
309.00,0.07
319.00,0.07
329.00,0.06
339.00,0.07
349.00,0.07
359.00,0.06
369.00,0.07
379.00,0.07
389.00,0.05
399.00,0.06
409.00,0.06
419.00,0.06
429.00,0.06
439.00,0.07
449.00,0.06
459.00,0.07
469.00,0.06
479.00,0.05
489.00,0.08
499.00,0.06
509.00,0.07
519.00,0.06
529.00,0.07
539.00,0.06
549.00,0.06
559.00,0.06
569.00,0.06
579.00,0.07
589.00,0.06
599.00,0.07
609.00,0.07
619.00,0.07
629.00,0.06
639.00,0.07
649.00,0.20
659.00,0.07
669.00,0.07
679.00,0.07
689.00,0.07
699.00,0.07
709.00,0.07
719.00,0.06
729.00,0.07
739.00,0.06
749.00,0.06
759.00,0.07
769.00,0.07
779.00,0.06
789.00,0.07
799.00,0.07
809.00,0.07
819.00,0.08
829.00,0.06
839.00,0.07
849.00,0.07
859.00,0.06
869.00,0.06
879.00,0.07
889.00,0.07
899.00,0.07
909.00,0.06
919.00,0.07
929.00,0.06
939.00,0.07
949.00,0.06
959.00,0.07
969.00,0.06
979.00,0.07
989.00,0.06
999.00,0.23
