time,queue_avg,queue_max,delay_avg_1,delay_avg_2,delay_max,speed_avg,phase
1,0.00,0.00,0.00,0.00,0.00,43.60,1
3,0.00,0.00,0.00,0.00,0.00,51.33,1
5,0.00,0.00,0.00,0.00,0.00,60.43,1
7,0.00,0.00,0.00,0.00,0.00,61.06,1
9,0.00,0.00,0.00,0.00,0.00,61.18,1
11,0.00,0.00,0.00,0.00,0.00,59.21,1
13,0.00,0.00,0.00,0.00,0.00,52.87,1
15,0.00,0.00,0.00,0.00,0.00,43.29,1
17,0.30,1.21,0.33,0.43,1.84,36.76,1
19,2.09,5.47,0.83,1.07,3.84,29.44,3
21,2.66,5.41,1.33,1.71,5.84,31.10,3
23,5.63,11.34,1.98,2.42,7.84,34.05,3
25,5.76,12.06,2.81,3.34,9.84,33.48,3
27,5.76,12.06,3.45,4.02,11.84,30.81,3
29,5.76,12.06,3.98,4.56,13.84,30.42,3
31,6.30,14.23,4.77,5.43,15.84,29.41,3
33,8.71,18.74,5.63,6.40,17.84,27.26,3
35,8.82,18.67,6.63,7.54,19.84,23.89,3
37,10.60,18.67,7.47,8.48,21.84,22.08,3
39,11.70,18.67,8.60,9.79,23.84,21.31,2
41,11.67,18.67,9.45,10.74,25.84,19.26,2
43,11.67,18.67,10.42,11.84,27.84,19.97,2
45,13.14,18.66,11.54,13.14,29.84,21.61,2
47,10.44,16.56,11.32,12.71,31.84,25.81,2
49,8.40,16.56,8.37,10.76,33.84,26.29,2
51,8.40,16.56,7.22,9.29,35.84,21.39,2
53,8.70,16.56,8.04,10.33,37.84,16.29,2
55,10.96,16.96,8.42,10.82,39.84,15.06,2
57,13.19,23.86,9.42,12.11,41.84,15.45,2
59,14.62,24.01,10.42,13.39,43.84,16.91,2
61,14.58,23.81,11.42,14.68,45.84,16.39,2
63,14.92,23.81,12.42,15.97,47.84,17.18,4
65,16.26,23.81,13.42,17.25,49.84,17.23,4
67,16.14,23.81,14.42,18.54,51.84,18.64,4
69,15.05,24.45,15.42,19.82,53.84,18.50,4
71,15.67,29.60,13.73,17.60,42.10,19.94,4
73,10.71,29.44,13.53,17.20,43.43,20.96,4
75,11.89,29.44,13.70,17.27,45.43,20.00,4
77,11.87,29.44,13.00,16.20,47.43,16.33,4
79,12.03,29.44,13.76,16.89,49.43,13.12,1
81,12.02,29.44,14.76,17.89,51.43,13.20,1
83,11.95,29.73,15.76,18.89,53.43,17.10,1
85,13.24,34.33,16.86,20.03,55.43,19.30,1
87,14.77,35.98,15.63,18.16,53.72,22.38,1
89,15.97,35.98,13.19,14.74,45.47,24.50,1
91,17.26,35.98,14.25,15.81,47.47,25.38,1
93,17.86,35.98,12.49,13.27,49.47,24.68,1
95,17.85,35.98,11.63,13.63,51.47,24.88,3
97,18.47,35.98,12.96,15.21,53.47,22.30,3
