time,calc_time
1.00,0.16
9.00,0.07
19.00,0.06
29.00,0.06
39.00,0.06
49.00,0.07
59.00,0.06
69.00,0.07
79.00,0.07
89.00,0.05
99.00,0.07
109.00,0.07
119.00,0.07
129.00,0.05
139.00,0.06
149.00,0.09
159.00,0.07
169.00,0.06
179.00,0.06
189.00,0.06
199.00,0.08
209.00,0.07
219.00,0.05
229.00,0.07
239.00,0.06
249.00,0.06
259.00,0.06
269.00,0.06
279.00,0.07
289.00,0.09
299.00,0.09
309.00,0.06
319.00,0.07
329.00,0.07
339.00,0.09
349.00,0.06
359.00,0.06
369.00,0.06
379.00,0.06
389.00,0.06
399.00,0.06
409.00,0.05
419.00,0.05
429.00,0.09
439.00,0.07
449.00,0.07
459.00,0.07
469.00,0.09
479.00,0.08
489.00,0.06
499.00,0.07
