time,queue_avg,queue_max,delay_avg_1,delay_max,speed_avg,phase
1,0.00,0.00,0.00,0.00,44.34,1
3,0.00,0.00,0.00,0.00,53.56,1
5,0.00,0.00,0.00,0.00,55.02,1
7,0.00,0.00,0.00,0.00,58.18,1
9,0.00,0.00,0.00,0.00,60.79,1
11,0.00,0.00,0.00,0.00,57.87,3
13,0.00,0.00,0.00,0.00,51.73,3
15,0.00,0.00,0.00,0.00,44.31,3
17,0.06,0.26,0.27,1.82,33.90,3
19,2.31,9.26,0.53,3.82,29.15,3
21,5.55,16.81,1.25,5.82,24.62,3
23,9.30,21.02,1.84,7.82,23.85,2
25,11.01,28.10,2.50,9.82,25.16,2
27,11.38,29.57,3.17,11.82,28.99,2
29,10.36,29.57,4.20,13.82,28.30,2
31,8.83,29.57,4.94,15.82,29.82,2
33,11.64,29.57,4.96,17.82,29.06,4
35,12.97,29.57,5.66,19.82,25.29,4
37,12.93,29.57,6.54,21.82,30.59,4
39,9.48,29.57,6.07,21.77,32.15,4
41,8.44,29.54,5.10,23.77,29.52,4
43,12.84,34.68,4.80,25.77,31.44,4
45,13.88,37.47,5.63,27.77,32.44,1
47,14.11,38.40,6.26,29.77,29.01,1
49,14.43,39.67,7.02,31.77,30.85,1
51,18.06,50.83,8.06,33.77,31.83,1
53,11.69,34.51,7.88,34.84,29.50,3
55,6.49,13.05,8.42,33.53,29.29,3
57,7.09,10.16,5.59,33.53,28.04,3
59,10.09,17.36,6.59,35.53,27.25,3
61,9.96,22.81,7.11,37.53,25.40,3
63,11.01,22.75,7.83,39.53,22.48,3
65,11.20,23.49,7.68,41.53,21.90,3
67,12.70,29.52,8.44,43.53,17.59,3
69,13.31,31.93,9.71,45.53,18.46,3
71,15.16,36.19,10.64,47.53,17.02,2
73,16.88,40.33,11.88,49.53,14.21,2
75,17.23,41.77,12.62,51.53,12.92,2
77,17.84,41.76,13.81,53.53,10.36,4
79,20.14,46.97,12.08,55.53,13.72,4
81,21.33,48.39,12.34,57.53,12.83,4
83,21.79,49.56,13.51,59.53,15.28,4
85,22.66,55.52,13.21,61.53,19.29,4
87,22.58,55.37,13.98,63.53,20.73,4
89,22.58,55.37,14.54,65.53,25.20,4
91,21.05,49.27,15.02,67.53,25.43,4
93,8.73,30.11,15.65,69.53,25.50,1
95,11.34,30.11,16.48,71.53,27.63,1
97,12.79,30.11,17.20,73.53,31.88,1
99,11.90,30.11,18.70,75.53,34.80,1
101,10.50,30.11,16.01,60.77,33.29,3
103,7.84,16.61,15.93,51.51,31.21,3
105,6.49,24.05,12.51,43.85,31.99,3
107,10.55,34.75,9.46,34.80,26.88,3
109,13.90,39.61,10.38,36.80,24.00,3
111,18.10,47.49,10.15,38.80,18.43,3
113,20.68,50.29,11.35,40.80,15.15,3
115,22.68,56.02,12.55,42.80,14.20,3
117,24.94,65.08,13.89,44.80,12.46,2
119,25.86,68.76,15.24,46.80,9.75,2
121,27.27,70.86,16.37,48.80,7.99,2
123,28.70,69.41,17.80,50.80,7.93,2
125,28.16,67.55,16.13,48.23,9.28,4
127,28.02,66.93,16.10,50.23,7.48,4
129,29.75,66.92,17.36,52.23,8.76,4
131,28.65,66.92,18.86,54.23,14.03,4
133,28.65,66.92,16.84,48.52,19.57,4
135,28.37,65.82,15.09,31.87,21.80,4
137,23.08,45.03,16.49,33.87,24.65,1
139,16.13,33.93,17.40,35.87,22.55,1
141,14.88,29.08,18.49,37.87,22.48,1
143,15.78,34.66,19.82,39.87,19.97,1
145,16.40,36.81,17.77,41.05,18.80,1
147,17.01,36.80,18.66,43.05,16.23,1
149,20.84,44.22,16.94,45.05,16.15,3
