time,queue_main,queue_right,queue_avg,queue_max,delay_route_1,delay_route_2,delay_route_3,delay_avg_1,delay_avg_2,delay_max,speed,outflow
1,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,60.00,0.00
3,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,60.00,0.00
5,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,49.36,0.00
7,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,57.09,0.00
9,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,59.42,0.00
11,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,60.87,0.00
13,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,57.16,0.00
15,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,54.44,0.00
17,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,52.20,0.00
19,0.00,0.00,0.00,0.00,0.62,0.00,0.00,0.21,0.12,0.62,54.09,1.00
21,0.00,0.00,0.00,0.00,0.00,1.12,0.00,0.37,0.67,1.12,57.43,1.00
23,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,56.17,0.00
25,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,54.32,0.00
27,0.00,0.00,0.00,0.00,0.00,0.93,0.00,0.31,0.56,0.93,45.86,1.00
29,0.00,0.00,0.00,0.00,0.00,0.06,0.00,0.02,0.03,0.06,42.28,0.00
31,0.00,0.00,0.00,0.00,0.93,2.06,0.00,1.00,1.42,2.06,53.95,2.00
33,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,52.34,0.00
35,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,46.05,0.00
37,0.00,0.00,0.00,0.00,0.36,0.00,0.00,0.12,0.07,0.36,57.11,0.00
39,0.00,0.00,0.00,0.00,2.36,0.00,0.00,0.79,0.47,2.36,60.45,1.00
41,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,56.52,0.00
43,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,46.11,0.00
45,0.00,0.00,0.00,0.00,0.00,0.15,0.00,0.05,0.09,0.15,40.32,0.00
47,1.85,0.00,0.93,1.85,0.00,2.15,0.00,0.72,1.29,2.15,40.94,0.00
49,5.61,0.00,2.80,5.61,0.00,4.15,0.00,1.38,2.49,4.15,36.59,0.00
