time,calc_time
1.00,0.21
9.00,0.10
19.00,0.09
29.00,0.11
39.00,0.13
49.00,0.10
59.00,0.27
69.00,0.11
79.00,0.10
89.00,0.13
99.00,0.09
109.00,0.09
119.00,0.09
129.00,0.16
139.00,0.09
149.00,0.11
159.00,0.10
169.00,0.11
179.00,0.09
189.00,0.09
199.00,0.10
209.00,0.09
219.00,0.09
229.00,0.10
239.00,0.08
249.00,0.08
259.00,0.09
269.00,0.09
279.00,0.08
289.00,0.09
299.00,0.09
309.00,0.08
319.00,0.08
329.00,0.09
339.00,0.08
349.00,0.08
359.00,0.21
369.00,0.10
379.00,0.10
389.00,0.09
399.00,0.09
409.00,0.09
419.00,0.09
429.00,0.10
439.00,0.10
449.00,0.09
459.00,0.09
469.00,0.09
479.00,0.10
489.00,0.10
499.00,0.09
509.00,0.08
519.00,0.09
529.00,0.08
539.00,0.09
549.00,0.09
559.00,0.10
569.00,0.09
579.00,0.10
589.00,0.09
599.00,0.09
609.00,0.09
619.00,0.09
629.00,0.09
639.00,0.10
649.00,0.09
659.00,0.10
669.00,0.10
679.00,0.10
689.00,0.09
699.00,0.09
709.00,0.09
719.00,0.09
729.00,0.09
739.00,0.09
749.00,0.09
759.00,0.09
769.00,0.10
779.00,0.09
789.00,0.09
799.00,0.09
809.00,0.09
819.00,0.10
829.00,0.09
839.00,0.09
849.00,0.09
859.00,0.09
869.00,0.09
879.00,0.09
889.00,0.09
899.00,0.10
909.00,0.09
919.00,0.09
929.00,0.09
939.00,0.08
949.00,0.10
959.00,0.09
969.00,0.09
979.00,0.10
989.00,0.09
999.00,0.09
