time,calc_time
1.00,0.19
9.00,0.06
19.00,0.08
29.00,0.08
39.00,0.07
49.00,0.07
59.00,0.07
69.00,0.06
79.00,0.09
89.00,0.06
99.00,0.07
109.00,0.09
119.00,0.08
129.00,0.07
139.00,0.07
149.00,0.07
159.00,0.07
169.00,0.07
179.00,0.07
189.00,0.07
199.00,0.07
209.00,0.07
219.00,0.07
229.00,0.06
239.00,0.07
249.00,0.06
259.00,0.07
269.00,0.06
279.00,0.06
289.00,0.06
299.00,0.05
309.00,0.05
319.00,0.06
329.00,0.06
339.00,0.08
349.00,0.06
359.00,0.07
369.00,0.07
379.00,0.06
389.00,0.07
399.00,0.07
409.00,0.06
419.00,0.07
429.00,0.06
439.00,0.07
449.00,0.07
459.00,0.07
469.00,0.07
479.00,0.06
489.00,0.08
499.00,0.07
509.00,0.06
519.00,0.06
529.00,0.05
539.00,0.06
549.00,0.12
559.00,0.07
569.00,0.06
579.00,0.06
589.00,0.07
599.00,0.07
609.00,0.09
619.00,0.07
629.00,0.07
639.00,0.07
649.00,0.07
659.00,0.08
669.00,0.07
679.00,0.06
689.00,0.06
699.00,0.06
709.00,0.06
719.00,0.05
729.00,0.07
739.00,0.07
749.00,0.05
759.00,0.07
769.00,0.05
779.00,0.07
789.00,0.07
799.00,0.07
809.00,0.05
819.00,0.07
829.00,0.05
839.00,0.07
849.00,0.05
859.00,0.07
869.00,0.06
879.00,0.05
889.00,0.07
899.00,0.05
909.00,0.07
919.00,0.07
929.00,0.07
939.00,0.06
949.00,0.07
959.00,0.07
969.00,0.07
979.00,0.07
989.00,0.07
999.00,0.07
