time,calc_time
1.00,0.16
9.00,0.07
19.00,0.07
29.00,0.07
39.00,0.06
49.00,0.06
59.00,0.06
69.00,0.06
79.00,0.07
89.00,0.06
99.00,0.06
109.00,0.06
119.00,0.07
129.00,0.07
139.00,0.06
149.00,0.08
159.00,0.06
169.00,0.23
179.00,0.06
189.00,0.06
199.00,0.06
209.00,0.06
219.00,0.06
229.00,0.06
239.00,0.08
249.00,0.07
259.00,0.07
269.00,0.08
279.00,0.07
289.00,0.08
299.00,0.06
309.00,0.06
319.00,0.06
329.00,0.07
339.00,0.06
349.00,0.06
359.00,0.06
369.00,0.06
379.00,0.08
389.00,0.07
399.00,0.07
409.00,0.06
419.00,0.07
429.00,0.07
439.00,0.07
449.00,0.06
459.00,0.07
469.00,0.07
479.00,0.07
489.00,0.06
499.00,0.07
509.00,0.07
519.00,0.07
529.00,0.06
539.00,0.06
549.00,0.06
559.00,0.07
569.00,0.07
579.00,0.06
589.00,0.06
599.00,0.06
609.00,0.06
619.00,0.06
629.00,0.06
639.00,0.07
649.00,0.07
659.00,0.07
669.00,0.07
679.00,0.06
689.00,0.07
699.00,0.07
709.00,0.06
719.00,0.07
729.00,0.06
739.00,0.06
749.00,0.06
759.00,0.06
769.00,0.06
779.00,0.06
789.00,0.06
799.00,0.07
809.00,0.07
819.00,0.06
829.00,0.07
839.00,0.24
849.00,0.06
859.00,0.07
869.00,0.06
879.00,0.06
889.00,0.07
899.00,0.06
909.00,0.06
919.00,0.14
929.00,0.06
939.00,0.06
949.00,0.06
959.00,0.07
969.00,0.06
979.00,0.06
989.00,0.06
999.00,0.06
