time,calc_time
1.00,0.20
9.00,0.10
19.00,0.09
29.00,0.09
39.00,0.08
49.00,0.07
59.00,0.10
69.00,0.09
79.00,0.07
89.00,0.20
99.00,0.08
109.00,0.09
119.00,0.10
129.00,0.10
139.00,0.09
149.00,0.10
159.00,0.11
169.00,0.09
179.00,0.09
189.00,0.09
199.00,0.09
209.00,0.09
219.00,0.09
229.00,0.10
239.00,0.09
249.00,0.09
259.00,0.10
269.00,0.09
279.00,0.09
289.00,0.08
299.00,0.10
309.00,0.09
319.00,0.10
329.00,0.09
339.00,0.09
349.00,0.09
359.00,0.28
369.00,0.09
379.00,0.08
389.00,0.09
399.00,0.09
409.00,0.09
419.00,0.09
429.00,0.09
439.00,0.09
449.00,0.09
459.00,0.08
469.00,0.10
479.00,0.09
489.00,0.09
499.00,0.09
509.00,0.10
519.00,0.10
529.00,0.09
539.00,0.09
549.00,0.08
559.00,0.09
569.00,0.09
579.00,0.09
589.00,0.10
599.00,0.09
609.00,0.09
619.00,0.09
629.00,0.09
639.00,0.10
649.00,0.09
659.00,0.09
669.00,0.09
679.00,0.10
689.00,0.09
699.00,0.09
709.00,0.09
719.00,0.09
729.00,0.10
739.00,0.09
749.00,0.09
759.00,0.09
769.00,0.08
779.00,0.09
789.00,0.09
799.00,0.09
809.00,0.09
819.00,0.09
829.00,0.09
839.00,0.10
849.00,0.10
859.00,0.09
869.00,0.11
879.00,0.09
889.00,0.27
899.00,0.09
909.00,0.10
919.00,0.09
929.00,0.09
939.00,0.09
949.00,0.10
959.00,0.09
969.00,0.10
979.00,0.10
989.00,0.09
999.00,0.09
