time,phase
1.0,1.0
3.0,1.0
5.0,1.0
7.0,1.0
9.0,2.0
11.0,2.0
13.0,2.0
15.0,2.0
17.0,7.0
19.0,7.0
21.0,7.0
23.0,7.0
25.0,16.0
27.0,16.0
29.0,16.0
31.0,16.0
33.0,2.0
35.0,2.0
37.0,2.0
39.0,2.0
41.0,12.0
43.0,12.0
45.0,12.0
47.0,12.0
49.0,11.0
51.0,11.0
53.0,11.0
55.0,11.0
57.0,5.0
59.0,5.0
61.0,5.0
63.0,5.0
65.0,4.0
67.0,4.0
69.0,4.0
71.0,4.0
73.0,4.0
75.0,2.0
77.0,2.0
79.0,2.0
81.0,2.0
83.0,16.0
85.0,16.0
87.0,16.0
89.0,16.0
91.0,16.0
93.0,3.0
95.0,3.0
97.0,3.0
99.0,3.0
101.0,8.0
103.0,8.0
105.0,8.0
107.0,8.0
109.0,8.0
111.0,8.0
113.0,11.0
115.0,11.0
117.0,11.0
119.0,11.0
121.0,11.0
123.0,11.0
125.0,11.0
127.0,11.0
129.0,3.0
131.0,3.0
133.0,3.0
135.0,3.0
137.0,9.0
139.0,9.0
141.0,9.0
143.0,9.0
145.0,9.0
147.0,9.0
149.0,9.0
151.0,9.0
153.0,4.0
155.0,4.0
157.0,4.0
159.0,4.0
161.0,1.0
163.0,1.0
165.0,1.0
167.0,1.0
169.0,1.0
171.0,1.0
173.0,8.0
175.0,8.0
177.0,8.0
179.0,8.0
181.0,2.0
183.0,2.0
185.0,2.0
187.0,2.0
189.0,2.0
191.0,2.0
193.0,2.0
195.0,2.0
197.0,3.0
199.0,3.0
201.0,3.0
203.0,3.0
205.0,9.0
207.0,9.0
209.0,9.0
211.0,9.0
213.0,9.0
215.0,9.0
217.0,6.0
219.0,6.0
221.0,6.0
223.0,6.0
225.0,6.0
227.0,6.0
229.0,2.0
231.0,2.0
233.0,2.0
235.0,2.0
237.0,2.0
239.0,7.0
241.0,7.0
243.0,7.0
245.0,7.0
247.0,7.0
249.0,1.0
251.0,1.0
253.0,1.0
255.0,1.0
257.0,1.0
259.0,1.0
261.0,1.0
263.0,1.0
265.0,1.0
267.0,1.0
269.0,4.0
271.0,4.0
273.0,4.0
275.0,4.0
277.0,4.0
279.0,2.0
281.0,2.0
283.0,2.0
285.0,2.0
287.0,2.0
289.0,3.0
291.0,3.0
293.0,3.0
295.0,3.0
297.0,1.0
299.0,1.0
301.0,1.0
303.0,1.0
305.0,1.0
307.0,1.0
309.0,1.0
311.0,1.0
313.0,10.0
315.0,10.0
317.0,10.0
319.0,10.0
321.0,10.0
323.0,10.0
325.0,10.0
327.0,10.0
329.0,1.0
331.0,1.0
333.0,1.0
335.0,1.0
337.0,1.0
339.0,1.0
341.0,1.0
343.0,1.0
345.0,1.0
347.0,1.0
349.0,8.0
351.0,8.0
353.0,8.0
355.0,8.0
357.0,8.0
359.0,6.0
361.0,6.0
363.0,6.0
365.0,6.0
367.0,6.0
369.0,2.0
371.0,2.0
373.0,2.0
375.0,2.0
377.0,2.0
379.0,2.0
381.0,15.0
383.0,15.0
385.0,15.0
387.0,15.0
389.0,15.0
391.0,15.0
393.0,1.0
395.0,1.0
397.0,1.0
399.0,1.0
401.0,1.0
403.0,1.0
405.0,2.0
407.0,2.0
409.0,2.0
411.0,2.0
413.0,2.0
415.0,2.0
417.0,2.0
419.0,2.0
421.0,2.0
423.0,4.0
425.0,4.0
427.0,4.0
429.0,4.0
431.0,5.0
433.0,5.0
435.0,5.0
437.0,5.0
439.0,14.0
441.0,14.0
443.0,14.0
445.0,14.0
447.0,14.0
449.0,14.0
451.0,14.0
453.0,3.0
455.0,3.0
457.0,3.0
459.0,3.0
461.0,3.0
463.0,1.0
465.0,1.0
467.0,1.0
469.0,1.0
471.0,15.0
473.0,15.0
475.0,15.0
477.0,15.0
479.0,1.0
481.0,1.0
483.0,1.0
485.0,1.0
487.0,1.0
489.0,1.0
491.0,1.0
493.0,7.0
495.0,7.0
497.0,7.0
499.0,7.0
