time,phase
1.0,1.0
4.0,1.0
7.0,1.0
10.0,1.0
13.0,2.0
16.0,2.0
19.0,2.0
22.0,2.0
25.0,2.0
28.0,4.0
31.0,4.0
34.0,4.0
37.0,4.0
40.0,4.0
43.0,2.0
46.0,2.0
49.0,2.0
52.0,2.0
55.0,2.0
58.0,1.0
61.0,1.0
64.0,1.0
67.0,1.0
70.0,1.0
73.0,1.0
76.0,1.0
79.0,4.0
82.0,4.0
85.0,4.0
88.0,4.0
91.0,4.0
94.0,2.0
97.0,2.0
100.0,2.0
103.0,2.0
106.0,2.0
109.0,3.0
112.0,3.0
115.0,3.0
118.0,3.0
121.0,3.0
124.0,3.0
127.0,1.0
130.0,1.0
133.0,1.0
136.0,1.0
139.0,1.0
142.0,1.0
145.0,1.0
148.0,1.0
151.0,1.0
154.0,1.0
157.0,4.0
160.0,4.0
163.0,4.0
166.0,4.0
169.0,4.0
172.0,2.0
175.0,2.0
178.0,2.0
181.0,2.0
184.0,2.0
187.0,2.0
190.0,1.0
193.0,1.0
196.0,1.0
199.0,1.0
202.0,1.0
205.0,3.0
208.0,3.0
211.0,3.0
214.0,3.0
217.0,3.0
220.0,3.0
223.0,2.0
226.0,2.0
229.0,2.0
232.0,2.0
235.0,2.0
238.0,1.0
241.0,1.0
244.0,1.0
247.0,1.0
250.0,1.0
253.0,2.0
256.0,2.0
259.0,2.0
262.0,2.0
265.0,2.0
268.0,2.0
271.0,1.0
274.0,1.0
277.0,1.0
280.0,1.0
283.0,1.0
286.0,3.0
289.0,3.0
292.0,3.0
295.0,3.0
298.0,3.0
301.0,1.0
304.0,1.0
307.0,1.0
310.0,1.0
313.0,1.0
316.0,1.0
319.0,2.0
322.0,2.0
325.0,2.0
328.0,2.0
331.0,2.0
334.0,4.0
337.0,4.0
340.0,4.0
343.0,4.0
346.0,4.0
349.0,2.0
352.0,2.0
355.0,2.0
358.0,2.0
361.0,2.0
364.0,2.0
367.0,1.0
370.0,1.0
373.0,1.0
376.0,1.0
379.0,1.0
382.0,1.0
385.0,2.0
388.0,2.0
391.0,2.0
394.0,2.0
397.0,2.0
400.0,2.0
403.0,2.0
406.0,2.0
409.0,1.0
412.0,1.0
415.0,1.0
418.0,1.0
421.0,1.0
424.0,1.0
427.0,1.0
430.0,1.0
433.0,4.0
436.0,4.0
439.0,4.0
442.0,4.0
445.0,4.0
448.0,3.0
451.0,3.0
454.0,3.0
457.0,3.0
460.0,3.0
463.0,1.0
466.0,1.0
469.0,1.0
472.0,1.0
475.0,1.0
478.0,1.0
481.0,2.0
484.0,2.0
487.0,2.0
490.0,2.0
493.0,2.0
496.0,2.0
499.0,1.0
