time,queue_length
1.0,0.0
3.0,0.0
5.0,0.0
7.0,0.0
9.0,0.0
11.0,0.0
13.0,0.0
15.0,0.0
17.0,0.0
19.0,1.3
21.0,1.05
23.0,1.225
25.0,1.225
27.0,1.275
29.0,0.7
31.0,1.275
33.0,2.2
35.0,3.475
37.0,2.875
39.0,2.825
41.0,3.35
43.0,4.225
45.0,4.199999999999999
47.0,3.625
49.0,3.55
51.0,3.55
53.0,3.55
55.0,3.55
57.0,5.25
59.0,5.15
61.0,2.675
63.0,4.0
65.0,6.5
67.0,6.45
69.0,4.025
71.0,1.325
73.0,2.125
75.0,4.025
77.0,7.925
79.0,9.975
81.0,8.625
83.0,7.2749999999999995
85.0,9.450000000000001
87.0,9.875
89.0,11.225
91.0,11.75
93.0,8.675
95.0,4.575
97.0,5.35
99.0,5.3
101.0,5.25
103.0,2.85
105.0,4.175
107.0,4.375
109.0,6.9
111.0,9.025
113.0,11.45
115.0,11.8
117.0,5.7749999999999995
119.0,8.925
121.0,11.825
123.0,15.55
125.0,18.299999999999997
127.0,19.924999999999997
129.0,19.875
131.0,19.5
133.0,12.65
135.0,13.524999999999999
137.0,14.600000000000001
139.0,15.875
141.0,16.025
143.0,18.775
145.0,19.925
147.0,21.05
149.0,21.025
151.0,22.25
153.0,15.325
155.0,12.575
157.0,16.775
159.0,19.575
161.0,19.549999999999997
163.0,21.075000000000003
165.0,22.824999999999996
167.0,22.775
169.0,18.549999999999997
171.0,15.249999999999998
173.0,16.325
175.0,17.35
177.0,18.25
179.0,18.125
181.0,11.725
183.0,9.75
185.0,9.675
187.0,9.65
189.0,12.2
191.0,8.425
193.0,8.625
195.0,10.225
197.0,12.425
199.0,15.75
201.0,11.825000000000001
203.0,10.799999999999999
205.0,13.75
207.0,14.924999999999999
209.0,16.025
211.0,6.824999999999999
213.0,6.824999999999999
215.0,8.35
217.0,8.55
219.0,6.775
221.0,5.6
223.0,7.475
225.0,11.274999999999999
227.0,11.75
229.0,12.6
231.0,10.850000000000001
233.0,10.575
235.0,14.399999999999999
237.0,14.8
239.0,14.9
241.0,13.0
243.0,6.925
245.0,10.9
247.0,10.125
249.0,8.049999999999999
251.0,8.549999999999999
253.0,10.15
255.0,10.775
257.0,11.299999999999999
259.0,11.549999999999999
261.0,7.1
263.0,8.25
265.0,8.475000000000001
267.0,3.825
269.0,1.625
271.0,3.775
273.0,4.25
275.0,4.25
277.0,4.25
279.0,4.25
281.0,5.050000000000001
283.0,3.7500000000000004
285.0,4.85
287.0,5.725
289.0,6.225
291.0,9.95
293.0,13.450000000000001
295.0,13.024999999999999
297.0,7.550000000000001
299.0,8.65
301.0,10.525
303.0,13.275
305.0,14.875
307.0,14.975
309.0,15.525
311.0,16.675
313.0,12.75
315.0,9.0
317.0,9.0
319.0,10.149999999999999
321.0,13.75
323.0,16.725
325.0,17.575
327.0,11.125
329.0,13.225000000000001
331.0,13.350000000000001
333.0,14.0
335.0,14.399999999999999
337.0,8.2
339.0,8.2
341.0,8.549999999999999
343.0,9.875
345.0,9.825
347.0,10.7
349.0,5.7250000000000005
351.0,5.7250000000000005
353.0,5.7250000000000005
355.0,5.7250000000000005
357.0,5.7250000000000005
359.0,7.125
361.0,7.975
363.0,8.0
365.0,4.3
367.0,5.3
369.0,6.25
371.0,7.2250000000000005
373.0,9.875
375.0,11.825
377.0,13.274999999999999
379.0,7.874999999999999
381.0,10.05
383.0,10.675
385.0,12.600000000000001
387.0,13.675
389.0,13.925
391.0,12.575
393.0,11.125
395.0,7.949999999999999
397.0,9.0
399.0,9.0
401.0,9.425
403.0,13.075
405.0,13.100000000000001
407.0,10.825
409.0,12.25
411.0,12.225000000000001
413.0,13.075
415.0,14.075
417.0,13.825
419.0,13.825
421.0,11.625
423.0,9.549999999999999
425.0,11.95
427.0,14.475
429.0,14.8
431.0,16.225
433.0,17.95
435.0,11.35
437.0,8.55
439.0,10.7
441.0,12.875
443.0,13.725
445.0,12.375
447.0,12.875
449.0,14.7
451.0,9.25
453.0,13.375
455.0,13.7
457.0,14.825
459.0,17.7
461.0,23.599999999999998
463.0,23.825000000000003
465.0,20.299999999999997
467.0,19.775
469.0,22.225
471.0,25.925
473.0,26.525000000000002
475.0,28.7
477.0,25.975
479.0,23.975
481.0,21.25
483.0,24.25
485.0,24.4
487.0,24.424999999999997
489.0,25.4
491.0,26.0
493.0,27.75
495.0,29.575000000000003
497.0,24.35
499.0,21.975
501.0,25.475
