time,calc_time
1.00,0.16
9.00,0.06
19.00,0.06
29.00,0.07
39.00,0.07
49.00,0.06
59.00,0.06
69.00,0.07
79.00,0.06
89.00,0.07
99.00,0.06
109.00,0.08
119.00,0.07
129.00,0.06
139.00,0.06
149.00,0.06
159.00,0.06
169.00,0.06
179.00,0.08
189.00,0.08
199.00,0.07
209.00,0.06
219.00,0.07
229.00,0.07
239.00,0.06
249.00,0.06
259.00,0.06
269.00,0.07
279.00,0.07
289.00,0.06
299.00,0.06
309.00,0.07
319.00,0.07
329.00,0.07
339.00,0.08
349.00,0.07
359.00,0.07
369.00,0.07
379.00,0.07
389.00,0.07
399.00,0.13
409.00,0.07
419.00,0.06
429.00,0.07
439.00,0.07
449.00,0.07
459.00,0.07
469.00,0.07
479.00,0.07
489.00,0.06
499.00,0.06
