time,calc_time
1.00,0.19
9.00,0.09
19.00,0.09
29.00,0.11
39.00,0.10
49.00,0.09
59.00,0.09
69.00,0.11
79.00,0.09
89.00,0.09
99.00,0.09
109.00,0.10
119.00,0.08
129.00,0.08
139.00,0.09
149.00,0.10
159.00,0.09
169.00,0.10
179.00,0.10
189.00,0.09
199.00,0.10
209.00,0.09
219.00,0.08
229.00,0.08
239.00,0.10
249.00,0.08
259.00,0.08
269.00,0.09
279.00,0.10
289.00,0.09
299.00,0.09
309.00,0.10
319.00,0.10
329.00,0.11
339.00,0.09
349.00,0.09
359.00,0.09
369.00,0.09
379.00,0.08
389.00,0.09
399.00,0.12
409.00,0.09
419.00,0.10
429.00,0.08
439.00,0.09
449.00,0.09
459.00,0.10
469.00,0.09
479.00,0.11
489.00,0.09
499.00,0.10
509.00,0.09
519.00,0.09
529.00,0.38
539.00,0.08
549.00,0.32
559.00,0.09
569.00,0.09
579.00,0.10
589.00,0.11
599.00,0.08
609.00,0.10
619.00,0.09
629.00,0.10
639.00,0.09
649.00,0.09
659.00,0.09
669.00,0.10
679.00,0.09
689.00,0.09
699.00,0.09
709.00,0.10
719.00,0.09
729.00,0.09
739.00,0.10
749.00,0.09
759.00,0.09
769.00,0.08
779.00,0.09
789.00,0.10
799.00,0.08
809.00,0.09
819.00,0.09
829.00,0.09
839.00,0.10
849.00,0.09
859.00,0.11
869.00,0.09
879.00,0.08
889.00,0.09
899.00,0.09
909.00,0.10
919.00,0.08
929.00,0.10
939.00,0.10
949.00,0.08
959.00,0.09
969.00,0.09
979.00,0.25
989.00,0.13
999.00,0.09
