time,queue_main,queue_right,queue_avg,queue_max,delay_route_1,delay_route_2,delay_route_3,delay_avg_1,delay_avg_2,delay_max,speed,outflow
1,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,60.00,0.00
3,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,52.09,0.00
5,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,58.60,0.00
7,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,56.97,0.00
9,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,58.37,0.00
11,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,56.46,0.00
13,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,52.45,0.00
15,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,45.34,0.00
17,0.00,0.00,0.00,0.00,1.15,0.00,0.00,0.38,0.23,1.15,45.41,1.00
19,0.00,0.00,0.00,0.00,0.00,1.88,0.00,0.63,0.38,1.88,41.48,2.00
21,0.00,0.00,0.00,0.00,0.00,0.00,0.46,0.15,0.27,0.46,37.60,1.00
23,0.00,0.00,0.00,0.00,1.73,0.00,0.00,0.58,0.35,1.73,25.04,1.00
25,0.00,0.00,0.00,0.00,0.00,0.31,0.00,0.10,0.06,0.31,4.07,0.00
27,3.50,0.00,1.75,3.50,0.00,2.31,0.00,0.77,0.46,2.31,0.00,0.00
29,5.50,0.00,2.75,5.50,0.00,4.31,0.00,1.44,0.86,4.31,0.00,0.00
31,5.49,0.00,2.75,5.49,0.00,6.31,0.00,2.10,1.26,6.31,23.39,0.00
33,5.49,0.00,2.75,5.49,0.00,8.31,0.00,2.77,1.66,8.31,28.17,0.00
35,5.49,0.00,2.75,5.49,0.00,10.31,0.00,3.44,2.06,10.31,40.44,0.00
37,5.49,0.00,2.75,5.49,0.00,12.31,0.00,4.10,2.46,12.31,43.26,0.00
39,5.49,0.00,2.75,5.49,0.00,14.31,0.00,4.77,2.86,14.31,41.55,0.00
41,5.49,0.00,2.75,5.49,0.00,16.31,0.00,5.44,3.26,16.31,43.57,0.00
43,5.49,0.00,2.75,5.49,0.00,18.31,0.00,6.10,3.66,18.31,43.04,0.00
45,5.49,0.00,2.75,5.49,0.00,20.31,0.00,6.77,4.06,20.31,36.84,0.00
47,9.39,0.00,4.70,9.39,0.00,22.31,0.00,7.44,4.46,22.31,32.87,0.00
49,11.13,0.00,5.57,11.13,0.00,24.31,0.63,8.31,5.24,24.31,28.99,0.00
51,11.13,3.65,7.39,11.13,0.00,26.31,2.63,9.65,6.84,26.31,26.17,0.00
53,11.13,4.50,7.81,11.13,0.00,28.31,4.63,10.98,8.44,28.31,22.88,0.00
55,11.13,4.22,7.67,11.13,0.00,30.31,6.63,12.31,10.04,30.31,25.09,0.00
57,11.13,9.16,10.14,11.13,0.00,32.31,8.63,13.65,11.64,32.31,23.11,1.00
59,13.83,0.00,6.92,13.83,0.00,34.31,4.92,13.08,9.82,34.31,23.26,1.00
61,16.68,0.00,8.34,16.68,0.00,36.31,6.50,14.27,11.16,36.31,23.22,1.00
63,16.65,0.00,8.32,16.65,0.00,38.31,0.00,12.77,7.66,38.31,29.56,0.00
65,16.65,0.00,8.32,16.65,0.00,40.31,0.03,13.45,8.08,40.31,23.90,0.00
67,16.65,0.00,8.32,16.65,0.00,42.31,2.03,14.78,9.68,42.31,15.66,0.00
69,16.65,4.69,10.67,16.65,0.00,44.31,4.03,16.12,11.28,44.31,15.57,0.00
71,16.65,11.70,14.18,16.65,0.00,46.31,6.03,17.45,12.88,46.31,12.78,0.00
73,16.65,17.08,16.87,17.08,0.00,48.31,8.03,18.78,14.48,48.31,10.04,0.00
