time,calc_time
1.00,0.14
9.00,0.06
19.00,0.07
29.00,0.05
39.00,0.07
49.00,0.07
59.00,0.08
69.00,0.06
79.00,0.07
89.00,0.05
99.00,0.06
109.00,0.07
119.00,0.05
129.00,0.06
139.00,0.06
149.00,0.05
159.00,0.07
169.00,0.06
179.00,0.06
189.00,0.07
199.00,0.05
209.00,0.06
219.00,0.05
229.00,0.06
239.00,0.08
249.00,0.05
259.00,0.05
269.00,0.06
279.00,0.04
289.00,0.06
299.00,0.06
309.00,0.05
319.00,0.06
329.00,0.06
339.00,0.05
349.00,0.05
359.00,0.05
369.00,0.05
379.00,0.06
389.00,0.05
399.00,0.06
409.00,0.05
419.00,0.06
429.00,0.04
439.00,0.07
449.00,0.05
459.00,0.06
469.00,0.06
479.00,0.07
489.00,0.07
499.00,0.05
