time,delay
1.0,0.0
3.0,0.0
5.0,0.0
7.0,0.0
9.0,0.0
11.0,0.0
13.0,0.0
15.0,0.0
17.0,0.0
19.0,0.0
21.0,0.0
23.0,0.0
25.0,0.5
27.0,6.9
29.0,7.3
31.0,2.9
33.0,2.3
35.0,2.3
37.0,2.3
39.0,2.3
41.0,2.3
43.0,1.2
45.0,1.2
47.0,31.7
49.0,31.3
51.0,29.6
53.0,29.6
55.0,29.6
57.0,29.6
59.0,29.6
61.0,17.8
63.0,17.8
65.0,17.8
67.0,17.3
69.0,17.3
71.0,56.0
73.0,48.8
75.0,40.5
77.0,34.2
79.0,22.1
81.0,17.3
83.0,17.3
85.0,17.3
87.0,17.3
89.0,60.6
91.0,49.2
93.0,49.4
95.0,49.4
97.0,41.8
99.0,41.8
101.0,54.0
103.0,48.5
105.0,43.7
107.0,45.1
109.0,45.2
111.0,41.8
113.0,41.8
115.0,41.8
117.0,41.8
119.0,41.8
121.0,41.8
123.0,51.0
125.0,51.0
127.0,51.0
129.0,46.9
131.0,41.8
133.0,41.8
135.0,41.8
137.0,41.8
139.0,41.8
141.0,41.8
143.0,41.8
145.0,57.1
147.0,57.0
149.0,57.5
151.0,53.4
153.0,41.8
155.0,41.8
157.0,41.8
159.0,73.4
161.0,70.7
163.0,66.1
165.0,67.2
167.0,59.0
169.0,41.8
171.0,41.8
173.0,50.7
175.0,50.3
177.0,45.4
179.0,45.4
181.0,45.4
183.0,42.2
185.0,41.8
187.0,41.8
189.0,47.9
191.0,47.5
193.0,47.4
195.0,48.0
197.0,48.4
199.0,41.8
201.0,41.8
203.0,41.8
205.0,41.8
207.0,41.8
209.0,41.8
211.0,41.8
213.0,76.5
215.0,78.1
217.0,49.5
219.0,49.5
221.0,88.0
223.0,90.8
225.0,84.9
227.0,86.3
229.0,86.3
231.0,86.3
233.0,86.3
235.0,86.3
237.0,86.3
239.0,86.3
241.0,86.3
243.0,86.3
245.0,86.3
247.0,86.3
249.0,86.3
251.0,86.3
253.0,86.3
255.0,86.3
257.0,86.3
259.0,86.3
261.0,86.3
263.0,86.3
265.0,86.3
267.0,86.3
269.0,86.3
271.0,86.3
273.0,86.3
275.0,86.3
277.0,86.3
279.0,86.3
281.0,96.8
283.0,86.3
285.0,86.3
287.0,86.3
289.0,86.3
291.0,116.9
293.0,116.9
295.0,110.0
297.0,110.0
299.0,110.0
301.0,88.4
303.0,88.4
305.0,75.5
307.0,75.5
309.0,75.5
311.0,75.5
313.0,75.5
315.0,75.5
317.0,91.1
319.0,89.7
321.0,83.0
323.0,82.4
325.0,82.8
327.0,81.8
329.0,75.5
331.0,75.5
333.0,75.5
335.0,75.5
337.0,75.5
339.0,75.5
341.0,75.5
343.0,75.5
345.0,75.5
347.0,75.5
349.0,75.5
351.0,75.5
353.0,75.5
355.0,75.5
357.0,143.3
359.0,142.0
361.0,137.3
363.0,129.1
365.0,113.3
367.0,113.3
369.0,120.8
371.0,121.3
373.0,113.3
375.0,113.3
377.0,113.3
379.0,113.3
381.0,113.3
383.0,113.3
385.0,113.3
387.0,113.3
389.0,113.3
391.0,113.3
393.0,113.3
395.0,113.3
397.0,113.3
399.0,113.3
401.0,113.3
403.0,113.3
405.0,113.3
407.0,113.3
409.0,113.3
411.0,113.3
413.0,113.3
415.0,113.3
417.0,113.3
419.0,113.3
421.0,113.3
423.0,113.3
425.0,113.3
427.0,113.3
429.0,113.3
431.0,113.3
433.0,113.3
435.0,113.3
437.0,113.3
439.0,113.3
441.0,154.8
443.0,131.4
445.0,124.3
447.0,124.3
449.0,124.1
451.0,120.5
453.0,100.4
455.0,96.2
457.0,96.2
459.0,96.2
461.0,96.2
463.0,96.2
465.0,96.2
467.0,96.2
469.0,96.2
471.0,96.2
473.0,96.2
475.0,96.2
477.0,96.2
479.0,96.2
481.0,96.2
483.0,96.2
485.0,96.2
487.0,107.1
489.0,107.1
491.0,107.1
493.0,107.1
495.0,107.1
497.0,107.1
499.0,107.1
501.0,107.1
